name,position,scale,count,url
富安达基金管理有限公司,上海市浦东新区世纪大道1568号29楼,79.26亿元,30,www.fadfunds.com
国海富兰克林基金管理有限公司,上海市浦东新区世纪大道8号上海国金中心二期9层,820.10亿元,67,www.ftsfund.com
国泰基金管理有限公司,上海市虹口区公平路18号8号楼嘉昱大厦16层-19层,5489.59亿元,373,www.gtfund.com
工银瑞信基金管理有限公司,北京市西城区金融大街5号新盛大厦A座6-9层,7874.88亿元,398,www.icbccs.com.cn
国元证券股份有限公司,安徽省合肥市梅山路18号,46.14亿元,5,www.gyzq.com.cn
北京高华证券有限责任公司,北京市西城区金融大街7号英蓝国际中心18层1801-1806室、1826-1832室,---,0,www.ghsl.cn
国海证券股份有限公司,广西壮族自治区南宁市滨湖路46号国海大厦,37.17亿元,7,www.ghzq.com.cn
国寿安保基金管理有限公司,北京市西城区金融大街28号院盈泰商务中心2号楼11、12层,2291.09亿元,151,www.gsfunds.com.cn
国联安基金管理有限公司,上海市浦东新区陆家嘴环路1318号星展银行大厦9楼,933.19亿元,107,"www.cpicfunds.com,www.gtja-allianz.com"
光大保德信基金管理有限公司,"上海市黄浦区中山东二路558号外滩金融中心1幢(北区3号楼),6-7层、10层",823.39亿元,114,www.epf.com.cn
国新证券股份有限公司,北京市朝阳区朝阳门北大街18号中国人保寿险大厦11至18层,---,0,www.hrsec.com.cn
国融基金管理有限公司,北京市海淀区西直门外大街168号腾达大厦2008室/上海市虹口区黄浦路99号2909室,4.34亿元,20,www.gowinamc.com
广发证券资产管理(广东)有限公司,广州市天河区马场路26号广发证券大厦30-32楼,173.64亿元,24,www.gfam.com.cn
国投瑞银基金管理有限公司,深圳市福田区金田路4028号荣超经贸中心46层,2447.35亿元,145,www.ubssdic.com
国联证券股份有限公司,"香港湾仔皇后大道东248号大新金融中心40楼,中国江苏省无锡市金融一街8号",72.06亿元,8,www.glsc.com.cn
国信证券股份有限公司,深圳市福田区福华一路125号国信金融大厦,136.29亿元,7,www.guosen.com.cn
国都证券股份有限公司,北京市东城区东直门南大街3号国华投资大厦9层、10层,0.51亿元,3,www.guodu.com
国金基金管理有限公司,北京市海淀区西三环北路87号国际财经中心D座14层,384.42亿元,47,www.gfund.com
格林基金管理有限公司,北京市朝阳区东三环中路5号楼财富金融中心47层(电梯层58层)04、05、06单元,208.95亿元,45,www.china-greenfund.com
国新国证基金管理有限公司,北京市朝阳区朝阳门北大街18号中国人保寿险大厦11层,58.02亿元,16,www.hr-fund.com.cn
广发基金管理有限公司,广州市海珠区琶洲大道东1号保利国际广场南塔31-33楼,12209亿元,596,www.gffunds.com.cn
华润元大基金管理有限公司,广东省深圳市前海深港合作区兴海大道3040号前海世茂金融中心21层2103-05单元,125.45亿元,37,www.cryuantafund.com
恒越基金管理有限公司,上海市浦东新区龙阳路2277 号永达国际大厦2102-2104室,88.16亿元,24,www.hengyuefund.com
华宸未来基金管理有限公司,上海市虹口区四川北路859号中信广场16楼,1.49亿元,5,www.hcmiraefund.com
华泰柏瑞基金管理有限公司,上海市浦东新区芳甸路1155号嘉里城36层、40层(4003B、4003C、4004及4005单元),3043.16亿元,213,www.huatai-pb.com
华富基金管理有限公司,上海市浦东新区栖霞路18号陆家嘴富汇大厦A座3楼、5楼,854.65亿元,92,www.hffund.com
恒泰证券股份有限公司,"香港湾仔皇后大道东248号大新金融中心40楼,中国北京市西城区金融大街17号中国人寿中心11楼",3.23亿元,1,www.cnht.com.cn
华夏基金管理有限公司,北京市西城区金融大街33号通泰大厦B座8层,10779.82亿元,627,www.chinaamc.com
汇丰晋信基金管理有限公司,上海市浦东新区世纪大道8号上海国金中心汇丰银行大楼17楼,478.30亿元,54,www.hsbcjt.cn
汇添富基金管理股份有限公司,上海市黄浦区外马路728号,8481.37亿元,538,www.99fund.com
红塔红土基金管理有限公司,深圳市前海深港合作区南山街道前湾一路399号前海嘉里商务中心四期1栋2301,60.21亿元,37,www.htamc.com.cn
华安基金管理有限公司,中国(上海)自由贸易试验区世纪大道8号国金中心二期31-32层,5503.99亿元,399,www.huaan.com.cn
华商基金管理有限公司,北京市西城区平安里西大街28号楼19层,979.91亿元,125,www.hsfund.com
红土创新基金管理有限公司,深圳市南山区海德三道深创投广场48层,127.16亿元,35,www.htcxfund.com
华泰保兴基金管理有限公司,上海市浦东新区博成路1101号华泰金融大厦9层,295.90亿元,36,www.ehuataifund.com
华创证券有限责任公司,贵州省贵阳市云岩区中华北路216号,2.89亿元,2,www.hczq.com
华鑫证券有限责任公司,上海市徐汇区宛平南路8号,1.55亿元,2,www.cfsc.com.cn
弘毅远方基金管理有限公司,上海市黄浦区圆明园路149号哈密大楼6楼,14.22亿元,13,www.honyfunds.com
惠升基金管理有限责任公司,北京市西城区金融大街27号投资广场大厦B座18层,430.15亿元,42,www.risingamc.com
华安证券股份有限公司,安徽省合肥市政务文化新区天鹅湖路198号,71.42亿元,13,www.hazq.com
华西基金管理有限责任公司,--,---,0,--
汇安基金管理有限责任公司,北京市东城区东直门南大街5号中青旅大厦13层,394.79亿元,111,www.huianfund.cn
华泰证券(上海)资产管理有限公司,上海市浦东新区东方路18号保利广场E栋21楼,906.31亿元,68,htamc.htsc.com.cn
汇泉基金管理有限公司,北京市海淀区西直门外大街168号腾达大厦16层,26.19亿元,10,www.springsfund.com
